u,v,key,osmid,highway,lanes,name,oneway,reversed,length,junction,geometry,ref,access,bridge,maxspeed,tunnel
2244637056,9840924664,0,49014341,residential,,,False,False,304.41485722108615,,"LINESTRING (72.8699286 19.0772785, 72.8695665 19.0769984, 72.8693895 19.0768653, 72.8691508 19.076769, 72.8687909 19.0767225, 72.8685111 19.0767082, 72.8684145 19.076679, 72.8682925 19.0766119, 72.8681275 19.0765231, 72.8680108 19.0765168, 72.8676018 19.0765561, 72.8672705 19.0766248)",,,,,
2244637056,622060872,0,1279831551,residential,,,False,True,101.59332541031833,,"LINESTRING (72.8699286 19.0772785, 72.8699192 19.0775029, 72.8698723 19.0776347, 72.8697489 19.0778286, 72.8696027 19.0779325, 72.8694528 19.0779844)",,,,,
2244637060,9171437921,0,215040232,residential,,,False,True,97.68658381846102,,"LINESTRING (72.8714132 19.0773246, 72.8705067 19.0771301)",,,,,
2244637067,6554236440,0,1175567942,tertiary,,Jawaharlal Nehru Road,False,True,32.92152289010347,,"LINESTRING (72.8651677 19.0777006, 72.8648606 19.0776421)",,,,,
2244637067,2244637026,0,215040167,residential,,,False,False,191.26030544836925,,"LINESTRING (72.8651677 19.0777006, 72.8655376 19.0774332, 72.8659284 19.0771671, 72.8660279 19.0770455, 72.8663298 19.0764382)",,,,,
2244637067,6554236441,0,1175567942,tertiary,,Jawaharlal Nehru Road,False,False,210.3268538058523,,"LINESTRING (72.8651677 19.0777006, 72.8652256 19.0777163, 72.8657095 19.0778476, 72.8659221 19.0779373, 72.8661547 19.0780833, 72.8667219 19.0787747)",,,,,
2244637068,622060802,0,22855493,residential,,Church Road,False,True,19.10825755928287,,"LINESTRING (72.8680886 19.0785358, 72.8681718 19.078383)",,,,,
2244637068,245668029,0,22855493,residential,,Church Road,False,False,141.20026078698504,,"LINESTRING (72.8680886 19.0785358, 72.8679263 19.0786022, 72.8675938 19.0786981, 72.8667931 19.0788615)",,,,,
2244637068,623895532,0,215040196,residential,,,False,True,135.2936475645114,,"LINESTRING (72.8680886 19.0785358, 72.8681966 19.078958, 72.868204 19.0789959, 72.8682254 19.0790948, 72.8682134 19.0791721, 72.8681865 19.0792431, 72.8681572 19.0792705, 72.8678707 19.0796304)",,,,,
2244637089,7404757798,0,436370624,tertiary,,Kalina Kurla Road,False,True,35.88955044894056,,"LINESTRING (72.8744345 19.0797167, 72.8747289 19.0795531)",,,,,
2244637089,7404757793,0,49014332,residential,,,False,True,46.034097285070686,,"LINESTRING (72.8744345 19.0797167, 72.8742671 19.0794915, 72.8741801 19.0793797)",,,,,
2244637089,245668366,0,436370624,tertiary,,Kalina Kurla Road,False,False,477.4405738924029,,"LINESTRING (72.8744345 19.0797167, 72.8704892 19.0815865, 72.8703766 19.0816474)",,,,,
2244797450,6430399591,0,215059298,residential,,,False,True,70.51037969997813,,"LINESTRING (72.8742668 19.0678797, 72.8738566 19.0678797, 72.8738532 19.0681261)",,permissive,,,
2244797504,2244797508,0,215059274,residential,,,False,True,108.80545951128856,,"LINESTRING (72.8740818 19.071223, 72.874769 19.0711247, 72.8748129 19.0711262, 72.8748465 19.0711617, 72.8749024 19.0713881)",,,,,
2244797508,2244797511,0,215059215,residential,,,False,False,27.713594444452497,,"LINESTRING (72.8749024 19.0713881, 72.8746395 19.0714076)",,,,,
2244797508,2244797516,0,215059215,residential,,,False,True,59.18481541844068,,"LINESTRING (72.8749024 19.0713881, 72.8750722 19.071418, 72.8754562 19.0714848)",,,,,
2244797508,2244797504,0,215059274,residential,,,False,False,108.80545951128855,,"LINESTRING (72.8749024 19.0713881, 72.8748465 19.0711617, 72.8748129 19.0711262, 72.874769 19.0711247, 72.8740818 19.071223)",,,,,
2244797511,2244797514,0,215059215,residential,,,False,False,70.9339371290711,,"LINESTRING (72.8746395 19.0714076, 72.8739654 19.07144)",,,,,
2244797511,2244797508,0,215059215,residential,,,False,True,27.713594444452497,,"LINESTRING (72.8746395 19.0714076, 72.8749024 19.0713881)",,,,,
2244797511,2244797569,0,215059214,residential,,,False,True,248.80223844355686,,"LINESTRING (72.8746395 19.0714076, 72.8746546 19.0715364, 72.8746975 19.0718148, 72.874714 19.0718443, 72.8747412 19.0718538, 72.8748078 19.0718537, 72.8748398 19.0718772, 72.8748498 19.0719146, 72.8750096 19.0726086, 72.875053 19.0727347, 72.8754034 19.0734444)",,,,,
2244797512,2244797514,0,215059215,residential,,,False,True,23.22573708237677,,"LINESTRING (72.8737444 19.0714387, 72.8739654 19.07144)",,,,,
2244797514,2244797512,0,215059215,residential,,,False,False,23.22573708237677,,"LINESTRING (72.8739654 19.07144, 72.8737444 19.0714387)",,,,,
2244797514,2244797511,0,215059215,residential,,,False,True,70.9339371290711,,"LINESTRING (72.8739654 19.07144, 72.8746395 19.0714076)",,,,,
2244797514,2244797526,0,215059304,residential,,,False,False,53.17523390290672,,"LINESTRING (72.8739654 19.07144, 72.874094 19.0718654, 72.8740884 19.0719008)",,,,,
2244797516,3308366231,0,1121152376,primary,,Lal Bahadur Shastri Marg,True,False,200.33356184207392,,"LINESTRING (72.8754562 19.0714848, 72.875717 19.0732695)",,,,,
2244797516,2244797508,0,215059215,residential,,,False,False,59.18481541844068,,"LINESTRING (72.8754562 19.0714848, 72.8750722 19.071418, 72.8749024 19.0713881)",,,,,
2244797526,2244797530,0,215059304,residential,,,False,False,19.793761589704072,,"LINESTRING (72.8740884 19.0719008, 72.8740818 19.0720787)",,,,,
